id,name,picture_url
1011456,Balder,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4ce5a7c2814ba.gif
1009168,Banshee,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54.jpg
1009596,Banshee (Theresa Rourke),http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4ce5a1a50e56b.jpg
1011778,Baron Mordo (Karl Mordo),http://i.annihil.us/u/prod/marvel/i/mg/f/90/4ce5a86dba8a8.jpg
1009169,Baron Strucker,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d.jpg
1009170,Baron Zemo (Heinrich Zemo),http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe.jpg
1010906,Baron Zemo (Helmut Zemo),http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a.jpg
1011137,Baroness S'Bak,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011354,Barracuda,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009550,Bart Rozum,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009171,Bastion,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4.jpg
1009172,Batroc the Leaper,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5.gif
1009173,Battering Ram,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif
1011785,Battlestar,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009174,Beak,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad.jpg
1009175,Beast,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3.jpg
1010909,Beast (Earth-311),http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035813dc4c.jpg
1010908,Beast (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/5/d0/53176a9be110c.jpg
1009176,Becatron,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009177,Bedlam,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009178,Beef,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif
1009179,Beetle (Abner Jenkins),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011793,Belasco,http://i.annihil.us/u/prod/marvel/i/mg/a/20/4ce5a878b487c.jpg
1009329,Ben Grimm,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009489,Ben Parker,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c003d00c8ed9.jpg
1011346,Ben Reilly,http://i.annihil.us/u/prod/marvel/i/mg/2/20/4ce5a6abaea69.jpg
1010782,Ben Urich,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c00373d10e5e.jpg
1010829,Bengal,http://i.annihil.us/u/prod/marvel/i/mg/3/70/5269523ee6c03.jpg
1009180,Beta-Ray Bill,http://i.annihil.us/u/prod/marvel/i/mg/3/90/52602f3e88d25.jpg
1011907,Bethany Cabe,http://i.annihil.us/u/prod/marvel/i/mg/f/40/4ce5a8b16ee4b.jpg
1010325,Betty Brant,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4c7c644f453fb.jpg
1009548,Betty Ross,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4ce5a12071562.jpg
1011138,Beyonder,http://i.annihil.us/u/prod/marvel/i/mg/7/10/528d31df87c49.jpg
1011296,Bi-Beast,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010843,Big Bertha,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4c0035cfca8b6.jpg
1009181,Big Wheel,http://i.annihil.us/u/prod/marvel/i/mg/3/00/4c0040b26877d.jpg
1011262,Bill Hollister,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009182,Bishop,http://i.annihil.us/u/prod/marvel/i/mg/3/70/52602f4b42d98.jpg
1011224,Bishop (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009183,Black Bird,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009184,Black Bolt,http://i.annihil.us/u/prod/marvel/i/mg/1/20/52696929dc721.jpg
1017330,Black Bolt (Marvel War of Heroes),http://i.annihil.us/u/prod/marvel/i/mg/8/a0/5239c021b3bfc.jpg
1009185,Black Cat,http://i.annihil.us/u/prod/marvel/i/mg/e/03/526952357d91c.jpg
1010910,Black Cat (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c00357da502e.jpg
1010859,Black Crow,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011809,Black Knight (Dane Whitman),http://i.annihil.us/u/prod/marvel/i/mg/c/d0/4ce5a883e8df0.gif
1009186,Black Knight (Sir Percy of Scandia),http://i.annihil.us/u/prod/marvel/i/mg/9/b0/4ce59ed1590a7.jpg
1009187,Black Panther,http://i.annihil.us/u/prod/marvel/i/mg/6/60/5261a80a67e7d.jpg
1017838,Black Panther (Shuri),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011130,Black Panther (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/6/20/53176a7b3a4e4.jpg
1010356,Black Queen,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010687,Black Tarantula,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0038dfc1270.jpg
1009188,Black Tom,http://i.annihil.us/u/prod/marvel/i/mg/f/70/4c0040a736154.jpg
1009189,Black Widow,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b.jpg
1017296,Black Widow (LEGO Marvel Super Heroes),http://i.annihil.us/u/prod/marvel/i/mg/6/30/5239c3722bdc5.jpg
1010911,Black Widow (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/2/03/53176a690b261.jpg
1011498,Black Widow (Yelena Belova),http://i.annihil.us/u/prod/marvel/i/mg/8/70/4c002dee5207a.jpg
1017109,Black Widow/Natasha Romanoff (MAA),http://i.annihil.us/u/prod/marvel/i/mg/a/03/523219743a99b.jpg
1009190,Blackheart,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c0040a0ee5ba.jpg
1010881,Blacklash,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011349,Blackout,http://i.annihil.us/u/prod/marvel/i/mg/c/60/4ce5a6b641eb9.jpg
1009191,Blade,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/523ca6f2b11e4.jpg
1009195,Blastaar,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/52695222c22e0.jpg
1010830,Blazing Skull,http://i.annihil.us/u/prod/marvel/i/mg/8/d0/4ce5a37a830a3.jpg
1011291,Blindfold,http://i.annihil.us/u/prod/marvel/i/mg/5/10/4ce5a5f7cabea.jpg
1011836,Bling!,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009197,Blink,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4ce59eeb38a9a.jpg
1009198,Blizzard,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009199,Blob,http://i.annihil.us/u/prod/marvel/i/mg/1/10/4c7c648178328.png
1011132,Blob (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/9/00/4ce5a51b309b7.jpg
1009200,Blockbuster,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c0040969fa92.jpg
1009201,Blok,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009202,Bloke,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c00409415b3b.jpg
1011416,Blonde Phantom,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a77360c30.jpg
1011073,Bloodaxe,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009203,Bloodscream,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/4c7c647c3f069.jpg
1009204,Bloodstorm,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010850,Bloodstrike,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011113,Blue Blade,http://i.annihil.us/u/prod/marvel/i/mg/b/e0/4ce5a4b76d1c0.jpg
1011339,Blue Marvel,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011264,Blue Shield,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010688,Blur,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011119,"Bob, Agent of Hydra",http://i.annihil.us/u/prod/marvel/i/mg/e/a0/4ce5a4c2cd41b.jpg
1010366,Boom Boom,http://i.annihil.us/u/prod/marvel/i/mg/6/00/4ce5a25d34245.jpg
1009205,Boomer,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010371,Boomerang,http://i.annihil.us/u/prod/marvel/i/mg/2/30/4c00390504a3b.jpg
1009206,Box,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59ef63362d.jpg
1011236,Bride of Nine Spiders (Immortal Weapons),http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4ce5a592212cc.jpg
1014981,Bromley,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4cd05b51df5c5.jpg
1009208,Brood,http://i.annihil.us/u/prod/marvel/i/mg/d/40/5260321259f91.jpg
1011090,Brother Voodoo,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009209,Brotherhood of Evil Mutants,http://i.annihil.us/u/prod/marvel/i/mg/3/30/539f01b910d91.jpg
1014973,Brotherhood of Mutants (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009167,Bruce Banner,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009210,Brute,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009211,Bucky,http://i.annihil.us/u/prod/marvel/i/mg/d/03/4dc8478464008.jpg
1011038,Bug,http://i.annihil.us/u/prod/marvel/i/mg/8/30/4c00323e50dda.jpg
1010887,Bulldozer,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009212,Bullseye,http://i.annihil.us/u/prod/marvel/i/mg/6/30/539a08f322fd1.jpg
1009213,Bushwacker,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011101,Butterfly,http://i.annihil.us/u/prod/marvel/i/mg/8/00/4c0030b5dbc50.jpg
